"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Cross,"396,739","400,021","424,384","410,290",51,0.8,6.1,-3.3,68
Dallas,"198,132","190,101","205,448","213,031",65,-4.1,8.1,3.7,44
Desha,"503,611","520,072","536,852","516,189",41,3.3,3.2,-3.8,70
Drew,"577,190","564,722","549,342","563,856",36,-2.2,-2.7,2.6,51
Faulkner,"3,580,550","3,574,897","3,482,480","3,574,870",6,-0.2,-2.6,2.7,50
Franklin,"413,686","414,965","431,380","434,902",48,0.3,4.0,0.8,60
Fulton,"163,612","164,931","164,097","169,793",68,0.8,-0.5,3.5,46
Garland,"3,052,200","3,065,063","3,047,435","3,164,010",7,0.4,-0.6,3.8,43
Grant,"367,371","384,813","393,888","414,064",50,4.7,2.4,5.1,30
Greene,"1,313,558","1,347,035","1,342,422","1,399,980",17,2.5,-0.3,4.3,37
Hempstead,"880,029","863,598","866,671","930,944",23,-1.9,0.4,7.4,23
Hot Spring,"928,914","866,760","883,388","904,301",24,-6.7,1.9,2.4,54
Howard,"607,417","538,680","507,483","576,614",35,-11.3,-5.8,13.6,10
Independence,"1,761,008","1,645,465","1,503,668","1,624,623",14,-6.6,-8.6,8.0,21
Izard,"272,594","259,698","243,082","254,670",58,-4.7,-6.4,4.8,33
Jackson,"662,295","638,600","657,628","606,422",34,-3.6,3.0,-7.8,74
Jefferson,"2,751,458","2,766,305","2,669,608","2,848,240",8,0.5,-3.5,6.7,26
Johnson,"673,339","652,518","631,757","692,669",29,-3.1,-3.2,9.6,16
Lafayette,"146,904","128,281","122,990","145,295",71,-12.7,-4.1,18.1,3
Lawrence,"411,606","402,947","421,281","399,878",52,-2.1,4.5,-5.1,71
Lee,"146,519","163,006","157,646","159,360",70,11.3,-3.3,1.1,57
Lincoln,"237,468","216,774","222,519","251,974",60,-8.7,2.7,13.2,11
Little River,"429,947","439,697","458,989","442,105",47,2.3,4.4,-3.7,69
Logan,"510,809","442,569","417,701","485,947",45,-13.4,-5.6,16.3,6
Lonoke,"1,210,731","1,197,716","1,207,508","1,257,541",19,-1.1,0.8,4.1,39
Madison,"382,378","344,405","360,917","421,198",49,-9.9,4.8,16.7,5
Marion,"459,496","549,604","487,513","529,075",40,19.6,-11.3,8.5,19
Miller,"1,209,532","1,234,444","1,202,132","1,222,230",20,2.1,-2.6,1.7,55
Mississippi,"2,405,465","2,661,747","2,792,684","2,794,555",9,10.7,4.9,0.1,63
Monroe,"165,946","169,555","190,894","178,275",67,2.2,12.6,-6.6,72
Montgomery,"133,942","126,042","124,490","127,442",74,-5.9,-1.2,2.4,53
Nevada,"246,433","223,300","218,472","223,656",63,-9.4,-2.2,2.4,52
Newton,"90,519","92,860","91,166","91,809",75,2.6,-1.8,0.7,61
Ouachita,"576,810","564,202","539,640","557,656",37,-2.2,-4.4,3.3,47
Perry,"145,679","137,304","133,909","143,465",72,-5.7,-2.5,7.1,24
Phillips,"448,511","477,389","492,480","493,915",43,6.4,3.2,0.3,62
Pike,"234,030","213,123","215,529","236,014",61,-8.9,1.1,9.5,17
Poinsett,"531,608","542,311","557,726","555,463",38,2.0,2.8,-0.4,65
Polk,"509,695","490,239","478,389","548,628",39,-3.8,-2.4,14.7,9
Pope,"2,580,190","2,593,261","2,613,344","2,650,885",10,0.5,0.8,1.4,56
Prairie,"182,969","169,562","205,713","186,113",66,-7.3,21.3,-9.5,75
Pulaski,"25,913,774","26,513,306","26,348,514","27,383,801",1,2.3,-0.6,3.9,41
Randolph,"441,883","452,387","455,528","493,477",44,2.4,0.7,8.3,20
St. Francis,"642,594","652,186","660,564","666,412",31,1.5,1.3,0.9,58
Saline,"2,353,825","2,282,881","2,277,839","2,375,427",12,-3.0,-0.2,4.3,38
Scott,"282,863","256,581","252,030","301,468",57,-9.3,-1.8,19.6,2
Searcy,"150,008","157,073","152,368","159,716",69,4.7,-3.0,4.8,32
Sebastian,"6,050,110","6,079,025","5,933,697","6,255,361",4,0.5,-2.4,5.4,29
Sevier,"492,068","455,519","403,078","467,763",46,-7.4,-11.5,16.0,8
Sharp,"346,451","308,524","284,697","330,406",54,-10.9,-7.7,16.1,7
Stone,"227,468","218,160","205,183","228,327",62,-4.1,-5.9,11.3,13
Union,"2,345,471","2,376,360","2,332,229","2,405,297",11,1.3,-1.9,3.1,48
Van Buren,"493,674","479,753","479,269","512,019",42,-2.8,-0.1,6.8,25
Washington,"10,267,251","10,498,090","10,744,152","11,570,042",3,2.2,2.3,7.7,22
White,"2,116,010","2,139,653","2,147,313","2,254,589",13,1.1,0.4,5.0,31
Woodruff,"226,796","213,764","240,640","222,458",64,-5.7,12.6,-7.6,73
Yell,"578,572","558,169","517,679","607,174",33,-3.5,-7.3,17.3,4
,,,,,,,,,
California,"2,644,061,178","2,729,225,812","2,667,220,931","2,874,730,813",--,3.2,-2.3,7.8,--
Alameda,"123,724,768","125,985,355","122,539,116","130,465,391",7,1.8,-2.7,6.5,13
Alpine,"103,668","117,056","95,453","94,933",57,12.9,-18.5,-0.5,49
Amador,"1,589,216","1,626,507","1,581,043","1,612,883",44,2.3,-2.8,2.0,36
Butte,"8,513,088","8,658,177","8,083,203","8,094,801",30,1.7,-6.6,0.1,44
Calaveras,"1,236,479","1,410,978","1,333,831","1,368,814",46,14.1,-5.5,2.6,33
Colusa,"1,393,948","1,242,020","1,388,736","1,194,522",47,-10.9,11.8,-14.0,58
Contra Costa,"76,713,953","78,343,718","70,604,400","73,533,985",11,2.1,-9.9,4.1,23
Del Norte,"708,739","702,962","697,302","721,464",54,-0.8,-0.8,3.5,27
El Dorado,"7,466,422","7,418,629","7,021,357","7,378,023",32,-0.6,-5.4,5.1,22
Fresno,"40,879,496","41,883,420","41,328,649","41,821,044",14,2.5,-1.3,1.2,42
Glenn,"1,094,775","1,130,910","1,195,911","1,092,967",49,3.3,5.7,-8.6,57
Humboldt,"5,052,135","5,165,191","4,997,878","5,170,257",35,2.2,-3.2,3.4,28
Imperial,"8,134,056","8,320,160","8,442,582","8,412,312",29,2.3,1.5,-0.4,47
Inyo,"1,189,940","1,235,710","1,165,216","1,184,420",48,3.8,-5.7,1.6,39
Kern,"46,682,682","47,993,863","48,039,393","47,528,806",13,2.8,0.1,-1.1,52
Kings,"5,957,325","6,096,491","6,135,393","6,074,335",33,2.3,0.6,-1.0,51
Lake,"1,852,505","1,875,705","1,853,532","1,877,770",42,1.3,-1.2,1.3,41
Lassen,"1,077,971","1,068,287","1,082,001","1,080,110",50,-0.9,1.3,-0.2,46
Los Angeles,"682,824,282","700,214,742","660,011,801","711,874,201",1,2.5,-5.7,7.9,7
Madera,"5,957,974","6,151,796","6,125,454","5,948,983",34,3.3,-0.4,-2.9,55
Marin,"25,209,682","27,438,000","27,608,705","28,590,581",16,8.8,0.6,3.6,25
Mariposa,"758,029","772,970","714,789","752,739",53,2.0,-7.5,5.3,21
Mendocino,"3,285,646","3,288,267","3,205,804","3,307,837",38,0.1,-2.5,3.2,31
Merced,"8,966,980","9,095,228","9,071,967","8,986,693",28,1.4,-0.3,-0.9,50
Modoc,"377,483","417,379","449,845","460,062",55,10.6,7.8,2.3,34
Mono,"960,399","1,014,950","943,839","1,048,415",51,5.7,-7.0,11.1,4
Monterey,"25,930,853","26,427,441","25,645,742","26,112,268",20,1.9,-3.0,1.8,38
Napa,"9,856,438","9,986,808","9,470,844","10,062,765",27,1.3,-5.2,6.2,16
Nevada,"3,893,023","3,978,130","3,820,921","4,063,224",36,2.2,-4.0,6.3,15
Orange,"225,920,029","230,680,258","222,683,756","238,228,949",3,2.1,-3.5,7.0,9
Placer,"20,891,085","21,409,025","21,046,539","22,716,449",21,2.5,-1.7,7.9,6
Plumas,"941,103","1,039,529","910,808","867,066",52,10.5,-12.4,-4.8,56
Riverside,"78,127,398","80,361,417","78,507,586","83,850,304",10,2.9,-2.3,6.8,11
Sacramento,"80,892,064","83,706,210","81,862,882","86,452,222",9,3.5,-2.2,5.6,18
San Benito,"2,115,631","2,271,323","2,218,640","2,418,096",40,7.4,-2.3,9.0,5
San Bernardino,"80,478,412","83,590,525","82,961,980","87,551,000",8,3.9,-0.8,5.5,19
San Diego,"209,678,423","213,886,409","208,634,274","224,954,460",4,2.0,-2.5,7.8,8
San Francisco,"164,833,122","176,220,551","175,871,217","200,484,675",5,6.9,-0.2,14.0,1
San Joaquin,"27,756,904","28,576,397","28,431,971","30,175,157",15,3.0,-0.5,6.1,17
San Luis Obispo,"15,796,950","15,840,649","15,360,333","15,899,992",24,0.3,-3.0,3.5,26
San Mateo,"120,781,799","125,495,847","125,955,725","142,240,790",6,3.9,0.4,12.9,3
Santa Barbara,"26,917,013","27,069,375","27,085,759","28,531,154",17,0.6,0.1,5.3,20
Santa Clara,"307,592,507","322,341,879","337,427,824","382,333,994",2,4.8,4.7,13.3,2
Santa Cruz,"13,246,454","14,127,589","14,003,025","14,951,016",25,6.7,-0.9,6.8,12
Shasta,"7,217,554","7,582,776","7,378,191","7,496,153",31,5.1,-2.7,1.6,40
Sierra,"84,295","88,142","79,502","82,035",58,4.6,-9.8,3.2,30
Siskiyou,"1,567,750","1,558,787","1,535,104","1,535,958",45,-0.6,-1.5,0.1,45
Solano,"22,184,966","25,816,118","26,244,141","26,796,029",19,16.4,1.7,2.1,35
Sonoma,"27,526,950","27,622,393","26,625,686","28,339,324",18,0.3,-3.6,6.4,14
Stanislaus,"21,172,694","21,574,356","21,178,767","21,953,592",22,1.9,-1.8,3.7,24
Sutter,"3,301,610","3,267,140","3,375,603","3,605,674",37,-1.0,3.3,6.8,10
Tehama,"1,882,995","1,969,258","1,896,541","1,871,437",43,4.6,-3.7,-1.3,53
Trinity,"360,655","358,250","367,211","359,132",56,-0.7,2.5,-2.2,54
Tulare,"16,985,917","17,686,797","17,425,744","17,361,025",23,4.1,-1.5,-0.4,48
Tuolumne,"2,282,641","2,391,993","2,185,114","2,228,425",41,4.8,-8.6,2.0,37
Ventura,"46,724,244","47,847,053","47,211,426","48,642,160",12,2.4,-1.3,3.0,32
Yolo,"13,480,569","13,930,408","13,685,878","14,144,241",26,3.3,-1.8,3.3,29
Yuba,"2,985,185","3,087,142","2,996,712","3,012,115",39,3.4,-2.9,0.5,43
,,,,,,,,,
Colorado,"342,733,182","358,438,482","353,345,183","373,763,332",--,4.6,-1.4,5.8,--
Adams,"24,704,265","25,786,729","25,890,313","27,509,311",6,4.4,0.4,6.3,29
Alamosa,"639,302","643,739","618,666","646,072",33,0.7,-3.9,4.4,35
Arapahoe,"43,870,713","44,431,647","43,812,838","45,899,101",2,1.3,-1.4,4.8,34
Archuleta,"505,532","516,880","510,759","525,978",38,2.2,-1.2,3.0,42
Baca,"127,599","127,590","149,419","166,520",53,0.0,17.1,11.4,9
Bent,"136,360","131,992","138,653","131,862",55,-3.2,5.0,-4.9,53
Boulder,"25,875,121","27,671,842","27,024,647","29,154,660",5,6.9,-2.3,7.9,19
Broomfield,"6,546,475","6,975,473","7,271,956","7,526,018",10,6.6,4.3,3.5,38
Chaffee,"714,029","747,430","749,360","801,618",29,4.7,0.3,7.0,24
Cheyenne,"179,695","190,615","214,112","337,847",45,6.1,12.3,57.8,1
Clear Creek,"465,401","533,727","503,296","540,964",37,14.7,-5.7,7.5,21
Conejos,"205,040","198,557","208,661","196,159",50,-3.2,5.1,-6.0,55
Costilla,"80,651","80,700","80,018","75,742",61,0.1,-0.8,-5.3,54
Crowley,"134,843","125,244","135,265","122,252",57,-7.1,8.0,-9.6,60
Custer,"110,497","122,948","121,419","133,894",54,11.3,-1.2,10.3,11
Delta,"783,427","809,291","841,319","867,713",28,3.3,4.0,3.1,39
Denver,"69,303,038","74,788,697","73,667,548","80,159,039",1,7.9,-1.5,8.8,13
Dolores,"161,963","157,041","152,702","124,781",56,-3.0,-2.8,-18.3,63
Douglas,"17,826,361","17,928,724","17,635,434","19,195,334",9,0.6,-1.6,8.8,12
Eagle,"3,601,236","3,713,730","3,583,929","3,877,258",14,3.1,-3.5,8.2,16
Elbert,"583,229","654,842","681,711","710,333",31,12.3,4.1,4.2,36
El Paso,"32,068,120","33,177,508","33,689,786","35,445,544",3,3.5,1.5,5.2,31
Fremont,"1,271,850","1,278,029","1,280,948","1,319,715",22,0.5,0.2,3.0,41
Garfield,"4,373,693","4,522,952","4,481,997","4,348,504",13,3.4,-0.9,-3.0,51
Gilpin,"544,180","540,253","459,106","577,961",36,-0.7,-15.0,25.9,5
Grand,"847,753","880,740","835,209","896,020",27,3.9,-5.2,7.3,23
