"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Lake,"733,296","747,758","769,857","807,529",10,2.0,3.0,4.9,21
Lewis and Clark,"3,051,937","3,199,654","3,201,027","3,368,645",6,4.8,0.0,5.2,18
Liberty,"212,594","245,576","253,010","269,391",28,15.5,3.0,6.5,15
Lincoln,"527,015","514,235","525,588","537,803",16,-2.4,2.2,2.3,26
McCone,"101,815","92,427","94,087","97,055",46,-9.2,1.8,3.2,24
Madison,"412,148","453,621","451,564","479,189",18,10.1,-0.5,6.1,16
Meagher,"59,750","64,347","58,169","68,942",50,7.7,-9.6,18.5,2
Mineral,"93,829","89,143","86,844","96,145",47,-5.0,-2.6,10.7,7
Missoula,"4,934,132","5,068,750","5,064,008","5,477,482",3,2.7,-0.1,8.2,10
Musselshell,"283,103","278,447","284,957","256,318",29,-1.6,2.3,-10.1,42
Park,"535,734","554,780","543,311","619,814",15,3.6,-2.1,14.1,4
Petroleum,"15,910","17,574","15,421","11,677",56,10.5,-12.2,-24.3,54
Phillips,"129,077","126,007","133,293","134,354",42,-2.4,5.8,0.8,30
Pondera,"223,904","258,983","247,370","189,271",37,15.7,-4.5,-23.5,53
Powder River,"117,345","133,243","218,615","172,392",40,13.5,64.1,-21.1,50
Powell,"201,853","204,591","195,320","192,430",36,1.4,-4.5,-1.5,32
Prairie,"51,281","44,127","50,468","34,228",54,-14.0,14.4,-32.2,55
Ravalli,"989,865","1,033,159","1,052,716","1,129,838",8,4.4,1.9,7.3,11
Richland,"933,979","984,834","988,568","975,238",9,5.4,0.4,-1.3,31
Roosevelt,"455,558","438,050","444,252","473,369",19,-3.8,1.4,6.6,13
Rosebud,"779,516","815,211","678,567","635,200",14,4.6,-16.8,-6.4,38
Sanders,"309,706","311,721","325,927","330,142",26,0.7,4.6,1.3,29
Sheridan,"165,075","165,372","191,168","198,771",35,0.2,15.6,4.0,22
Silver Bow,"1,348,149","1,376,267","1,367,521","1,440,848",7,2.1,-0.6,5.4,17
Stillwater,"568,137","625,688","732,929","645,825",13,10.1,17.1,-11.9,45
Sweet Grass,"207,693","233,995","252,782","248,728",31,12.7,8.0,-1.6,34
Teton,"250,146","257,445","265,712","206,109",34,2.9,3.2,-22.4,51
Toole,"339,348","352,859","367,319","293,774",27,4.0,4.1,-20.0,49
Treasure,"101,037","96,677","83,698","76,941",49,-4.3,-13.4,-8.1,40
Valley,"287,480","283,237","295,226","393,350",22,-1.5,4.2,33.2,1
Wheatland,"85,170","92,087","92,570","83,152",48,8.1,0.5,-10.2,43
Wibaux,"44,853","47,691","45,991","51,788",51,6.3,-3.6,12.6,5
Yellowstone,"9,358,074","8,754,063","8,419,230","8,969,555",1,-6.5,-3.8,6.5,14
,,,,,,,,,
Nebraska,"116,792,941","118,603,712","118,141,522","122,136,114",--,1.6,-0.4,3.4,--
Adams,"1,759,577","1,770,344","1,699,402","1,767,504",10,0.6,-4.0,4.0,35
Antelope,"480,590","544,841","660,469","629,046",29,13.4,21.2,-4.8,76
Arthur,"20,667","21,615","20,952","18,656",93,4.6,-3.1,-11.0,85
Banner,"47,303","48,337","45,018","44,792",84,2.2,-6.9,-0.5,65
Blaine,"41,292","37,918","36,430","27,995",90,-8.2,-3.9,-23.2,92
Boone,"393,683","426,712","462,142","458,700",37,8.4,8.3,-0.7,68
Box Butte,"575,270","574,632","516,799","540,138",31,-0.1,-10.1,4.5,29
Boyd,"132,769","129,380","117,691","115,642",73,-2.6,-9.0,-1.7,71
Brown,"246,429","248,255","235,290","209,167",63,0.7,-5.2,-11.1,86
Buffalo,"2,725,712","2,833,587","2,776,346","2,915,608",5,4.0,-2.0,5.0,23
Burt,"312,494","323,776","313,761","327,072",53,3.6,-3.1,4.2,33
Butler,"281,404","288,097","332,654","351,512",46,2.4,15.5,5.7,20
Cass,"693,515","739,950","749,719","802,691",20,6.7,1.3,7.1,14
Cedar,"397,490","374,607","439,971","460,985",36,-5.8,17.4,4.8,27
Chase,"331,470","348,755","344,562","342,195",49,5.2,-1.2,-0.7,67
Cherry,"310,863","299,934","314,623","291,314",56,-3.5,4.9,-7.4,82
Cheyenne,"581,167","514,701","477,323","477,417",35,-11.4,-7.3,0.0,60
Clay,"291,966","312,041","335,685","349,105",48,6.9,7.6,4.0,36
Colfax,"655,614","676,729","723,666","746,065",25,3.2,6.9,3.1,44
Cuming,"1,057,413","978,335","924,887","835,281",19,-7.5,-5.5,-9.7,84
Custer,"723,799","702,191","764,692","762,217",23,-3.0,8.9,-0.3,63
Dakota,"1,339,329","1,410,161","1,378,591","1,486,479",13,5.3,-2.2,7.8,10
Dawes,"261,875","264,298","274,816","270,021",58,0.9,4.0,-1.7,72
Dawson,"1,469,811","1,502,075","1,514,429","1,528,502",12,2.2,0.8,0.9,56
Deuel,"90,997","77,201","68,669","78,056",82,-15.2,-11.1,13.7,1
Dixon,"186,770","267,297","319,733","332,968",51,43.1,19.6,4.1,34
Dodge,"1,907,528","1,941,353","2,053,717","2,128,860",9,1.8,5.8,3.7,39
Douglas,"43,585,204","44,273,530","43,330,045","45,035,602",1,1.6,-2.1,3.9,37
Dundy,"188,893","195,925","204,509","205,878",64,3.7,4.4,0.7,57
Fillmore,"346,965","353,802","367,381","395,436",40,2.0,3.8,7.6,11
Franklin,"75,499","74,407","98,723","101,202",77,-1.4,32.7,2.5,47
Frontier,"86,400","86,816","100,469","112,300",74,0.5,15.7,11.8,3
Furnas,"245,184","224,777","258,771","286,540",57,-8.3,15.1,10.7,4
Gage,"856,081","885,945","915,044","960,155",17,3.5,3.3,4.9,26
Garden,"78,594","77,267","75,380","78,001",83,-1.7,-2.4,3.5,41
Garfield,"78,156","83,548","93,336","86,118",80,6.9,11.7,-7.7,83
Gosper,"97,044","90,811","97,343","104,369",76,-6.4,7.2,7.2,13
Grant,"39,411","32,951","32,154","25,923",91,-16.4,-2.4,-19.4,91
Greeley,"104,486","111,762","114,803","121,038",71,7.0,2.7,5.4,21
Hall,"3,190,336","3,225,527","3,212,918","3,380,327",4,1.1,-0.4,5.2,22
Hamilton,"623,544","645,173","680,563","709,758",26,3.5,5.5,4.3,32
Harlan,"237,583","218,562","203,293","197,409",65,-8.0,-7.0,-2.9,75
Hayes,"96,886","103,504","113,098","106,583",75,6.8,9.3,-5.8,79
Hitchcock,"132,828","133,897","130,641","147,375",68,0.8,-2.4,12.8,2
Holt,"609,958","635,546","688,279","684,930",28,4.2,8.3,-0.5,64
Hooker,"40,318","33,965","30,710","29,109",89,-15.8,-9.6,-5.2,77
Howard,"215,013","236,242","242,448","236,394",62,9.9,2.6,-2.5,74
Jefferson,"401,088","404,377","429,412","455,595",38,0.8,6.2,6.1,18
Johnson,"166,218","167,403","171,969","170,193",66,0.7,2.7,-1.0,69
Kearney,"334,728","342,971","343,311","349,154",47,2.5,0.1,1.7,51
Keith,"378,529","380,369","383,008","385,192",41,0.5,0.7,0.6,58
Keya Paha,"36,379","36,502","43,977","36,168",85,0.3,20.5,-17.8,90
Kimball,"162,883","152,143","164,622","163,589",67,-6.6,8.2,-0.6,66
Knox,"393,718","447,547","528,577","565,846",30,13.7,18.1,7.1,15
Lancaster,"17,184,092","17,498,836","17,221,115","17,757,706",2,1.8,-1.6,3.1,43
Lincoln,"2,375,418","2,238,648","2,159,084","2,191,699",8,-5.8,-3.6,1.5,53
Logan,"39,676","33,227","35,713","30,696",88,-16.3,7.5,-14.0,89
Loup,"54,157","46,950","41,219","35,767",86,-13.3,-12.2,-13.2,88
McPherson,"27,462","26,900","31,265","20,593",92,-2.0,16.2,-34.1,93
Madison,"2,230,940","2,279,702","2,236,929","2,288,587",7,2.2,-1.9,2.3,48
Merrick,"374,600","389,892","356,850","364,678",44,4.1,-8.5,2.2,50
Morrill,"609,962","499,437","499,220","510,686",32,-18.1,0.0,2.3,49
Nance,"132,787","113,024","120,829","133,103",69,-14.9,6.9,10.2,5
Nemaha,"626,491","656,569","686,803","748,526",24,4.8,4.6,9.0,7
Nuckolls,"240,707","244,895","241,237","258,784",61,1.7,-1.5,7.3,12
Otoe,"1,261,564","1,158,229","1,297,925","1,374,808",14,-8.2,12.1,5.9,19
Pawnee,"108,653","103,171","113,165","118,163",72,-5.0,9.7,4.4,30
Perkins,"252,223","302,308","300,593","324,462",54,19.9,-0.6,7.9,9
Phelps,"861,948","830,542","833,371","855,794",18,-3.6,0.3,2.7,46
Pierce,"333,982","340,271","337,282","332,682",52,1.9,-0.9,-1.4,70
Platte,"2,348,455","2,399,741","2,363,224","2,466,905",6,2.2,-1.5,4.4,31
Polk,"317,297","289,719","288,982","313,038",55,-8.7,-0.3,8.3,8
Red Willow,"474,297","493,694","506,084","507,503",33,4.1,2.5,0.3,59
Richardson,"347,142","340,793","343,446","354,811",45,-1.8,0.8,3.3,42
Rock,"97,838","95,772","102,482","90,840",79,-2.1,7.0,-11.4,87
Saline,"906,335","986,876","970,963","1,016,898",16,8.9,-1.6,4.7,28
Sarpy,"7,705,242","7,931,786","8,041,531","8,266,167",3,2.9,1.4,2.8,45
Saunders,"704,653","713,858","747,084","794,116",21,1.3,4.7,6.3,17
Scotts Bluff,"1,619,077","1,604,605","1,567,474","1,564,533",11,-0.9,-2.3,-0.2,61
Seward,"757,265","702,114","685,497","695,476",27,-7.3,-2.4,1.5,54
Sheridan,"243,667","303,339","329,502","334,935",50,24.5,8.6,1.6,52
Sherman,"94,554","106,051","117,724","129,043",70,12.2,11.0,9.6,6
Sioux,"114,538","95,293","82,832","78,417",81,-16.8,-13.1,-5.3,78
Stanton,"241,257","305,928","348,398","365,654",43,26.8,13.9,5.0,24
Thayer,"357,784","362,722","353,666","366,783",42,1.4,-2.5,3.7,38
Thomas,"41,689","38,482","36,295","33,794",87,-7.7,-5.7,-6.9,80
Thurston,"389,988","403,876","430,179","436,076",39,3.6,6.5,1.4,55
Valley,"277,086","281,893","274,809","268,577",59,1.7,-2.5,-2.3,73
Washington,"1,133,470","1,164,319","1,178,227","1,236,580",15,2.7,1.2,5.0,25
Wayne,"379,811","403,509","474,815","505,101",34,6.2,17.7,6.4,16
Webster,"254,313","254,357","268,001","267,203",60,0.0,5.4,-0.3,62
Wheeler,"138,902","136,921","105,754","98,138",78,-1.4,-22.8,-7.2,81
York,"704,433","744,831","757,025","784,235",22,5.7,1.6,3.6,40
,,,,,,,,,
Nevada,"150,448,009","156,959,124","146,492,496","159,567,333",--,4.3,-6.7,8.9,--
Churchill,"1,062,345","1,100,744","1,111,439","1,152,859",11,3.6,1.0,3.7,16
Clark,"107,751,448","112,654,167","101,883,799","111,288,530",1,4.6,-9.6,9.2,8
Douglas,"2,359,940","2,395,084","2,393,225","2,664,646",5,1.5,-0.1,11.3,4
Elko,"2,610,756","2,658,042","2,654,749","2,782,013",4,1.8,-0.1,4.8,13
Esmeralda,"44,038","40,016","40,201","45,539",17,-9.1,0.5,13.3,3
Eureka,"1,455,118","1,469,411","1,667,393","1,784,594",8,1.0,13.5,7.0,11
Humboldt,"1,224,705","1,306,298","1,381,033","1,515,989",10,6.7,5.7,9.8,7
Lander,"824,279","880,853","929,144","1,028,804",12,6.9,5.5,10.7,6
Lincoln,"141,408","152,569","150,678","158,631",16,7.9,-1.2,5.3,12
Lyon,"1,501,136","1,556,973","1,590,912","1,770,370",9,3.7,2.2,11.3,5
Mineral,"188,160","205,252","209,712","216,143",15,9.1,2.2,3.1,17
Nye,"1,695,867","1,745,501","1,823,495","1,955,940",7,2.9,4.5,7.3,10
Pershing,"303,131","308,662","377,368","433,511",14,1.8,22.3,14.9,2
Storey,"1,582,831","1,655,944","1,875,146","2,220,625",6,4.6,13.2,18.4,1
Washoe,"23,724,653","24,619,003","24,354,306","26,329,104",2,3.8,-1.1,8.1,9
White Pine,"621,304","642,423","741,784","776,655",13,3.4,15.5,4.7,14
Carson City,"3,216,179","3,411,046","3,309,545","3,445,525",3,6.1,-3.0,4.1,15
,,,,,,,,,
New Hampshire,"75,432,960","76,819,060","75,927,611","82,986,259",--,1.8,-1.2,9.3,--
Belknap,"2,646,919","2,590,704","2,521,368","2,755,125",7,-2.1,-2.7,9.3,3
Carroll,"2,028,611","1,985,071","1,950,176","2,062,397",8,-2.1,-1.8,5.8,9
Cheshire,"3,439,704","3,489,515","3,497,534","3,920,862",6,1.4,0.2,12.1,2
Coos,"1,126,828","1,120,165","1,100,464","1,144,432",10,-0.6,-1.8,4.0,10
Grafton,"6,108,800","6,201,837","6,174,761","6,632,817",4,1.5,-0.4,7.4,6
Hillsborough,"24,698,211","25,148,379","25,277,127","27,575,162",1,1.8,0.5,9.1,4
Merrimack,"8,974,257","9,024,562","8,697,368","9,280,812",3,0.6,-3.6,6.7,8
Rockingham,"19,524,428","20,319,696","19,896,234","22,311,276",2,4.1,-2.1,12.1,1
Strafford,"5,442,329","5,503,926","5,351,514","5,731,727",5,1.1,-2.8,7.1,7
Sullivan,"1,453,470","1,453,491","1,484,850","1,605,357",9,0.0,2.2,8.1,5
,,,,,,,,,
New Jersey,"550,059,527","559,648,773","535,323,749","566,893,216",--,1.7,-4.3,5.9,--
Atlantic,"12,114,979","12,451,208","11,402,937","12,407,031",15,2.8,-8.4,8.8,1
Bergen,"70,636,206","71,885,485","67,654,167","72,806,827",1,1.8,-5.9,7.6,2
Burlington,"25,732,182","26,022,775","25,828,734","27,362,035",10,1.1,-0.7,5.9,10
Camden,"22,597,124","22,964,891","21,891,980","23,305,510",11,1.6,-4.7,6.5,6
Cape May,"4,928,906","4,981,457","4,719,488","5,021,018",19,1.1,-5.3,6.4,7
Cumberland,"5,936,328","5,889,440","5,727,579","5,947,878",17,-0.8,-2.7,3.8,18
Essex,"49,213,298","50,263,731","45,716,187","48,672,183",4,2.1,-9.0,6.5,5
Gloucester,"14,315,215","14,737,938","13,628,781","14,008,558",14,3.0,-7.5,2.8,20
Hudson,"42,148,588","42,675,237","39,468,649","41,723,500",5,1.2,-7.5,5.7,11
Hunterdon,"7,006,381","7,103,810","6,726,397","7,080,592",16,1.4,-5.3,5.3,13
Mercer,"29,906,519","33,158,897","33,684,766","35,953,022",7,10.9,1.6,6.7,4
Middlesex,"57,004,085","57,203,400","55,282,091","59,035,603",2,0.3,-3.4,6.8,3
Monmouth,"33,076,541","33,375,414","32,245,598","34,219,339",9,0.9,-3.4,6.1,8
Morris,"49,547,733","49,898,374","48,770,267","51,226,600",3,0.7,-2.3,5.0,14
Ocean,"19,538,668","19,941,224","19,318,138","20,496,861",12,2.1,-3.1,6.1,9
Passaic,"20,223,204","20,353,876","19,127,747","20,046,491",13,0.6,-6.0,4.8,15
Salem,"4,649,540","4,637,516","5,036,706","5,231,759",18,-0.3,8.6,3.9,17
Somerset,"37,912,875","38,360,954","37,665,899","39,784,360",6,1.2,-1.8,5.6,12
Sussex,"4,703,345","4,685,205","4,390,302","4,563,437",20,-0.4,-6.3,3.9,16
Union,"35,136,834","35,276,779","33,565,324","34,370,946",8,0.4,-4.9,2.4,21
Warren,"3,801,154","3,831,695","3,561,050","3,688,336",21,0.8,-7.1,3.6,19
,,,,,,,,,
New Mexico,"90,933,634","94,897,411","92,496,288","93,625,052",--,4.4,-2.5,1.2,--
Bernalillo,"33,535,082","34,415,594","33,764,708","35,421,924",1,2.6,-1.9,4.9,7
Catron,"83,498","76,762","84,812","85,856",31,-8.1,10.5,1.2,16
Chaves,"1,978,563","2,014,684","1,946,881","1,887,351",12,1.8,-3.4,-3.1,24
Cibola,"577,177","569,295","584,060","559,748",20,-1.4,2.6,-4.2,27
Colfax,"426,052","433,285","425,870","426,659",24,1.7,-1.7,0.2,19
Curry,"2,772,759","2,839,752","2,853,276","2,892,180",8,2.4,0.5,1.4,15
De Baca,"83,646","83,011","84,514","79,599",32,-0.8,1.8,-5.8,29
Doña Ana,"6,757,052","6,937,711","6,650,524","6,847,115",3,2.7,-4.1,3.0,10
Eddy,"7,057,903","8,519,122","8,359,539","7,359,252",2,20.7,-1.9,-12.0,31
Grant,"1,125,938","1,096,896","962,833","957,071",15,-2.6,-12.2,-0.6,21
Guadalupe,"134,552","137,153","132,819","142,928",29,1.9,-3.2,7.6,2
Harding,"77,318","73,081","87,252","70,393",33,-5.5,19.4,-19.3,33
Hidalgo,"188,462","197,061","189,342","189,725",28,4.6,-3.9,0.2,18
Lea,"6,286,945","7,411,585","7,252,896","6,384,070",4,17.9,-2.1,-12.0,32
Lincoln,"584,627","587,027","577,667","559,190",21,0.4,-1.6,-3.2,25
Los Alamos,"2,106,353","2,114,791","2,215,858","2,345,069",10,0.4,4.8,5.8,6
Luna,"748,306","759,255","769,704","765,892",17,1.5,1.4,-0.5,20
McKinley,"2,238,580","2,449,582","2,302,221","2,260,573",11,9.4,-6.0,-1.8,22
Mora,"102,945","101,513","102,213","103,983",30,-1.4,0.7,1.7,13
Otero,"2,452,577","2,441,395","2,456,900","2,558,382",9,-0.5,0.6,4.1,9
Quay,"260,412","268,976","258,208","263,419",26,3.3,-4.0,2.0,12
Rio Arriba,"1,211,798","1,230,687","1,240,814","1,186,456",14,1.6,0.8,-4.4,28
Roosevelt,"634,603","660,876","629,406","632,752",18,4.1,-4.8,0.5,17
Sandoval,"3,324,308","3,651,323","3,591,767","3,816,957",7,9.8,-1.6,6.3,5
San Juan,"5,576,180","5,663,508","5,357,578","5,140,047",6,1.6,-5.4,-4.1,26
San Miguel,"601,449","601,303","580,723","596,630",19,0.0,-3.4,2.7,11
Santa Fe,"6,239,632","6,240,287","5,718,588","6,082,743",5,0.0,-8.4,6.4,4
Sierra,"261,583","267,735","276,826","281,160",25,2.4,3.4,1.6,14
Socorro,"450,706","456,728","442,632","434,288",23,1.3,-3.1,-1.9,23
Taos,"912,217","908,227","858,391","920,799",16,-0.4,-5.5,7.3,3
Torrance,"370,453","371,381","389,775","445,208",22,0.3,5.0,14.2,1
Union,"221,763","211,988","215,012","199,822",27,-4.4,1.4,-7.1,30
Valencia,"1,446,363","1,404,263","1,434,495","1,501,973",13,-2.9,2.2,4.7,8
,,,,,,,,,
New York,"1,458,382,411","1,500,833,379","1,432,506,990","1,514,779,247",--,2.9,-4.6,5.7,--
Albany,"28,360,444","29,292,506","28,296,973","30,337,328",10,3.3,-3.4,7.2,6
Allegany,"1,317,866","1,409,384","1,324,407","1,364,098",57,6.9,-6.0,3.0,55
Bronx,"37,824,813","39,364,102","37,373,330","38,725,964",9,4.1,-5.1,3.6,50
Broome,"8,302,024","8,412,634","8,052,244","8,477,155",21,1.3,-4.3,5.3,24
Cattaraugus,"2,635,807","2,690,619","2,487,623","2,598,409",37,2.1,-7.5,4.5,43
Cayuga,"2,644,961","2,712,130","2,594,337","2,729,364",36,2.5,-4.3,5.2,26
Chautauqua,"4,482,687","4,496,259","4,167,744","4,377,424",28,0.3,-7.3,5.0,32
Chemung,"3,488,829","3,486,977","3,327,908","3,491,724",33,-0.1,-4.6,4.9,36
Chenango,"2,135,106","2,195,673","1,989,328","2,053,988",43,2.8,-9.4,3.3,53
Clinton,"3,446,182","3,424,424","3,170,659","3,234,311",34,-0.6,-7.4,2.0,61
Columbia,"2,170,297","2,196,085","2,051,149","2,141,804",40,1.2,-6.6,4.4,44
Cortland,"1,665,965","1,656,074","1,576,538","1,656,539",53,-0.6,-4.8,5.1,30
Delaware,"1,824,634","2,042,453","1,874,078","1,925,517",45,11.9,-8.2,2.7,57
Dutchess,"12,895,534","13,177,288","12,822,160","13,750,039",15,2.2,-2.7,7.2,5
Erie,"51,052,510","52,261,669","50,509,696","53,209,697",7,2.4,-3.4,5.3,22
Essex,"1,490,885","1,511,169","1,430,465","1,523,533",54,1.4,-5.3,6.5,12
Franklin,"1,774,053","1,813,077","1,692,906","1,782,264",48,2.2,-6.6,5.3,23
Fulton,"1,736,341","1,779,519","1,663,916","1,732,174",49,2.5,-6.5,4.1,46
Genesee,"2,362,456","2,330,351","2,221,398","2,343,504",39,-1.4,-4.7,5.5,20
Greene,"2,201,327","2,137,446","1,977,301","2,083,778",42,-2.9,-7.5,5.4,21
Hamilton,"211,130","206,291","192,122","195,257",62,-2.3,-6.9,1.6,62
Herkimer,"1,653,124","1,760,097","1,658,057","1,725,155",52,6.5,-5.8,4.0,47
Jefferson,"5,769,712","5,744,084","5,495,544","5,684,605",26,-0.4,-4.3,3.4,52
Kings,"87,395,787","91,138,959","87,919,299","92,299,815",2,4.3,-3.5,5.0,33
Lewis,"989,789","1,037,614","971,863","996,831",58,4.8,-6.3,2.6,59
Livingston,"2,099,457","2,123,289","1,959,034","2,050,163",44,1.1,-7.7,4.7,39
Madison,"2,209,305","2,176,628","2,021,801","2,092,815",41,-1.5,-7.1,3.5,51
Monroe,"42,011,190","43,525,251","41,323,832","43,381,276",8,3.6,-5.1,5.0,35
Montgomery,"1,758,073","1,787,413","1,687,389","1,731,836",50,1.7,-5.6,2.6,58
Nassau,"88,399,645","88,950,846","84,344,799","89,691,310",4,0.6,-5.2,6.3,15
New York,"620,918,091","641,207,460","612,551,534","651,619,331",1,3.3,-4.5,6.4,14
Niagara,"8,718,297","9,040,400","8,698,041","9,131,213",18,3.7,-3.8,5.0,34
Oneida,"9,916,745","10,253,548","9,816,330","10,271,541",17,3.4,-4.3,4.6,40
Onondaga,"28,037,138","28,780,618","27,681,832","29,090,006",11,2.7,-3.8,5.1,29
Ontario,"5,660,631","5,878,727","5,630,782","5,886,200",24,3.9,-4.2,4.5,41
Orange,"16,709,019","17,742,350","17,366,361","18,243,659",12,6.2,-2.1,5.1,31
Orleans,"1,239,285","1,241,780","1,284,854","1,367,938",56,0.2,3.5,6.5,13
Oswego,"6,088,735","6,231,690","6,105,747","6,543,267",23,2.3,-2.0,7.2,7
Otsego,"2,471,649","2,492,560","2,335,110","2,467,686",38,0.8,-6.3,5.7,19
Putnam,"3,522,356","3,559,901","3,435,155","3,583,911",32,1.1,-3.5,4.3,45
Queens,"92,355,190","92,729,324","83,454,590","88,577,986",5,0.4,-10.0,6.1,16
Rensselaer,"6,931,288","8,006,526","8,162,751","8,584,741",20,15.5,2.0,5.2,27
Richmond,"14,768,128","14,928,862","14,406,741","14,805,704",14,1.1,-3.5,2.8,56
Rockland,"15,237,007","15,474,448","14,948,929","15,810,359",13,1.6,-3.4,5.8,18
St. Lawrence,"4,334,768","4,383,766","4,279,750","4,451,614",27,1.1,-2.4,4.0,48
Saratoga,"10,912,580","11,097,273","10,517,924","11,357,754",16,1.7,-5.2,8.0,3
Schenectady,"7,655,944","8,619,329","8,285,459","8,965,625",19,12.6,-3.9,8.2,2
Schoharie,"1,035,180","1,042,282","927,341","970,862",59,0.7,-11.0,4.7,38
Schuyler,"485,414","482,007","503,974","530,232",61,-0.7,4.6,5.2,25
Seneca,"1,387,685","1,498,979","1,366,039","1,457,671",55,8.0,-8.9,6.7,11
Steuben,"4,145,070","4,200,641","3,883,808","4,145,635",30,1.3,-7.5,6.7,10
Suffolk,"87,387,653","89,619,260","85,894,228","90,263,701",3,2.6,-4.2,5.1,28
Sullivan,"2,780,605","2,835,084","2,729,420","2,930,357",35,2.0,-3.7,7.4,4
Tioga,"1,781,556","1,855,456","1,727,797","1,806,114",47,4.1,-6.9,4.5,42
Tompkins,"5,627,269","5,691,700","5,356,791","5,735,595",25,1.1,-5.9,7.1,9
Ulster,"6,591,496","6,760,400","6,516,081","6,902,235",22,2.6,-3.6,5.9,17
Warren,"4,016,134","4,188,394","3,954,126","4,236,358",29,4.3,-5.6,7.1,8
Washington,"1,695,567","1,825,482","1,766,158","1,853,065",46,7.7,-3.2,4.9,37
Wayne,"3,653,380","3,817,335","3,560,524","3,647,100",31,4.5,-6.7,2.4,60
Westchester,"72,779,807","75,146,529","73,946,675","76,665,562",6,3.3,-1.6,3.7,49
Wyoming,"1,634,096","1,716,433","1,679,184","1,730,262",51,5.0,-2.2,3.0,54
Yates,"888,690","893,632","875,288","953,733",60,0.6,-2.1,9.0,1
,,,,,,,,,
North Carolina,"501,564,922","512,834,821","506,658,119","541,933,756",--,2.2,-1.2,7.0,--
Alamance,"5,531,239","5,699,327","5,628,997","6,083,266",18,3.0,-1.2,8.1,20
Alexander,"774,378","762,322","722,417","786,011",73,-1.6,-5.2,8.8,13
Alleghany,"278,014","268,612","256,245","263,602",92,-3.4,-4.6,2.9,84
Anson,"830,844","747,173","693,108","728,910",76,-10.1,-7.2,5.2,61
Ashe,"738,418","741,809","725,171","761,013",74,0.5,-2.2,4.9,68
Avery,"576,043","576,718","563,415","598,491",81,0.1,-2.3,6.2,47
Beaufort,"1,884,213","1,785,997","1,766,243","1,816,515",46,-5.2,-1.1,2.8,85
Bertie,"597,633","636,534","590,754","627,875",78,6.5,-7.2,6.3,46
Bladen,"1,398,165","1,324,323","1,324,746","1,363,558",62,-5.3,0.0,2.9,83
Brunswick,"4,358,493","4,286,910","4,230,756","4,436,023",24,-1.6,-1.3,4.9,70
Buncombe,"13,059,387","13,555,156","12,876,564","13,947,424",7,3.8,-5.0,8.3,17
Burke,"2,456,423","2,350,737","2,275,089","2,391,275",37,-4.3,-3.2,5.1,64
Cabarrus,"6,979,231","7,104,989","7,002,167","7,666,490",15,1.8,-1.4,9.5,7
Caldwell,"2,227,607","2,177,975","2,142,649","2,173,297",43,-2.2,-1.6,1.4,96
Camden,"138,230","142,436","145,450","159,182",98,3.0,2.1,9.4,9
Carteret,"2,201,435","2,331,119","2,247,563","2,376,454",38,5.9,-3.6,5.7,54
Caswell,"329,370","325,682","310,258","313,010",88,-1.1,-4.7,0.9,97
Catawba,"8,204,050","8,162,811","7,845,457","8,475,580",11,-0.5,-3.9,8.0,22
Chatham,"1,593,051","1,528,570","1,536,811","1,645,452",52,-4.0,0.5,7.1,39
Cherokee,"699,885","741,782","730,643","786,840",72,6.0,-1.5,7.7,26
Chowan,"562,070","579,050","574,844","603,921",80,3.0,-0.7,5.1,65
Clay,"219,819","233,714","236,796","257,263",93,6.3,1.3,8.6,14
Cleveland,"3,762,642","3,942,113","3,825,534","3,997,437",25,4.8,-3.0,4.5,72
Columbus,"1,290,092","1,353,603","1,329,836","1,417,490",60,4.9,-1.8,6.6,44
Craven,"4,389,948","4,559,290","4,551,633","4,778,389",20,3.9,-0.2,5.0,67
Cumberland,"15,323,187","15,698,509","15,527,024","16,361,012",6,2.4,-1.1,5.4,57
Currituck,"682,170","706,150","691,302","744,348",75,3.5,-2.1,7.7,27
Dare,"2,037,367","2,137,770","2,104,898","2,259,294",40,4.9,-1.5,7.3,33
Davidson,"4,257,394","4,332,130","4,157,745","4,462,582",23,1.8,-4.0,7.3,34
Davie,"1,275,198","1,287,868","1,245,922","1,343,075",63,1.0,-3.3,7.8,25
Duplin,"2,008,461","1,977,065","1,962,541","2,183,421",42,-1.6,-0.7,11.3,4
Durham,"30,695,992","32,574,152","33,506,979","36,510,519",3,6.1,2.9,9.0,11
Edgecombe,"1,502,543","1,491,921","1,451,777","1,556,949",54,-0.7,-2.7,7.2,36
Forsyth,"23,018,528","23,692,958","21,696,504","23,292,454",5,2.9,-8.4,7.4,32
Franklin,"1,510,928","1,494,590","1,522,407","1,563,337",53,-1.1,1.9,2.7,87
Gaston,"6,932,977","6,853,204","6,542,695","7,093,348",16,-1.2,-4.5,8.4,15
Gates,"172,280","182,819","188,872","185,422",97,6.1,3.3,-1.8,99
Graham,"203,926","217,684","203,143","206,394",96,6.7,-6.7,1.6,94
Granville,"2,958,759","2,922,462","2,886,099","2,960,629",31,-1.2,-1.2,2.6,88
Greene,"417,207","421,416","394,833","444,029",85,1.0,-6.3,12.5,3
Guilford,"30,571,063","30,524,464","29,310,684","30,868,487",4,-0.2,-4.0,5.3,59
Halifax,"1,311,233","1,320,522","1,248,443","1,300,109",64,0.7,-5.5,4.1,75
