2020 Alphabetical Vessel Statistics by County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,,Class A-1 - Pleasure: < than 12',,,,,69,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
Volusia,,Class A-1 - Pleasure: < than 12',,,,,"4,039",,,,,,,,Class A-1 - Commercial: < than 12',,,,,28,,,,,,,
Wakulla,,Class A-1 - Pleasure: < than 12',,,,,296,,,,,,,,Class A-1 - Commercial: < than 12',,,,,12,,,,,,,
Walton,,Class A-1 - Pleasure: < than 12',,,,,968,,,,,,,,Class A-1 - Commercial: < than 12',,,,,5,,,,,,,
Washington,,Class A-1 - Pleasure: < than 12',,,,,283,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
County,,Class A-2 - Pleasure,,,,,,"Total in Class A-2
- Pleasure",,,,,Class A-2 - Commercial,,,,,,,Total in Class A-2 - Commercial,,,,,,,
Alachua,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,548",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,59,,,,,,,
Baker,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,877,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,2,,,,,,,
Bay,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,998",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,80,,,,,,,
Bradford,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,701,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,5,,,,,,,
Brevard,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"6,940",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,100,,,,,,,
Broward,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"5,087",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,103,,,,,,,
Calhoun,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,859,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,9,,,,,,,
Charlotte,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,505",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,35,,,,,,,
Citrus,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,932",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,40,,,,,,,
Clay,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,239",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,21,,,,,,,
Collier,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,301",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,61,,,,,,,
Columbia,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,272",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,7,,,,,,,
Dade,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"5,784",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,173,,,,,,,
Desoto,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,730,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,15,,,,,,,
DHSMV,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,291,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,354,,,,,,,
Dixie,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,743,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,32,,,,,,,
Duval,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"4,931",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,86,,,,,,,
Escambia,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,427",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,20,,,,,,,
Flagler,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,189",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,27,,,,,,,
Franklin,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,645,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,125,,,,,,,
Gadsden,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,946,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,7,,,,,,,
Gilchrist,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,599,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,3,,,,,,,
Glades,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,309,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,14,,,,,,,
Gulf,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,043",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,55,,,,,,,
Hamilton,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,374,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,1,,,,,,,
Hardee,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,530,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,4,,,,,,,
Hendry,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,689,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,13,,,,,,,
Hernando,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,491",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,30,,,,,,,
Highlands,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,953",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,18,,,,,,,
Hills,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"6,097",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,68,,,,,,,
Holmes,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,204",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,8,,,,,,,
Indian River,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,288",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,64,,,,,,,
Jackson,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,816",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,5,,,,,,,
Jefferson,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,683,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,3,,,,,,,
Lafayette,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,337,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,2,,,,,,,
Lake,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,758",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,23,,,,,,,
Lee,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"4,897",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,69,,,,,,,
Leon,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,910",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,22,,,,,,,
County,,Class A-2 - Pleasure,,,,,,"Total in Class A-2
- Pleasure",,,,,Class A-2 - Commercial,,,,,,,Total in Class A-2 - Commercial,,,,,,,
Levy,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,251",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,37,,,,,,,
Liberty,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,711,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,7,,,,,,,
Madison,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,457,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,1,,,,,,,
Manatee,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,991",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,52,,,,,,,
Marion,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"4,863",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,37,,,,,,,
Martin,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,916",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,48,,,,,,,
Monroe,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,506",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,290,,,,,,,
