"Violent Crime, Rate Per 100,000 Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,
County,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV,Count,Denom,Rate,MOV
Sarasota,978,"434,853",224.9,14.1,925,"426,977",216.6,13.9,947,"415,896",227.7,14.5,971,"407,501",238.3,15.0,901,"401,316.0",224.5,14.6,1048,"393,850",266.1,16.1,1029,"388,037",265.2,16.2,1121,"385,619",290.7,17.0,1235,384157,321.5,17.9,1472,"381,881",385.5,19.7
Seminole,1380,"480,417",287.3,15.1,1305,"472,775",276.0,15.0,1455,"463,627",313.8,16.1,1501,"457,028",328.4,16.6,1695,"450,706.0",376.1,17.9,1548,"444,403",348.3,17.3,1511,"438,606",344.5,17.3,1521,"432,336",351.8,17.6,1445,428790,337,17.3,1551,"425,398",364.6,18.1
Sumter,279,"133,310",209.3,24.5,249,"130,642",190.6,23.7,227,"125,779",180.5,23.5,305,"123,928",246.1,27.6,292,"119,433.0",244.5,28.0,280,"116,440",240.5,28.1,208,"112,466",184.9,25.1,175,"106,591",164.2,24.3,152,101273,150.1,23.8,177,"97,440",181.7,26.7
Suwannee,216,"46,028",469.3,62.4,212,"45,482",466.1,62.6,164,"45,123",363.5,55.5,189,"44,522",424.5,60.4,241,"44,340.0",543.5,68.4,147,"44,449",330.7,53.4,214,"44,263",483.5,64.6,177,"43,923",403.0,59.2,155,43818,353.7,55.6,183,"43,489",420.8,60.8
Taylor,138,"22,654",609.2,101.3,153,"22,652",675.4,106.7,242,"22,258","1,087.2",136.2,267,"22,220","1,201.6",143.3,261,"22,400.0","1,165.2",140.5,255,"22,752","1,120.8",136.8,157,"22,916",685.1,106.8,202,"23,002",878.2,120.6,154,22969,670.5,105.5,157,"22,570",695.6,108.4
Union,37,"15,493",238.8,76.9,47,"15,985",294.0,83.9,33,"15,966",206.7,70.4,31,"15,896",195.0,68.6,37,"15,873.0",233.1,75.0,22,"15,934",138.1,57.7,46,"15,724",292.5,84.4,53,"15,499",342.0,91.9,39,15506,251.5,78.8,36,"15,471",232.7,75.9
Volusia,2028,"546,612",371.0,16.1,1912,"539,563",354.4,15.9,1996,"532,926",374.5,16.4,2034,"525,121",387.3,16.8,2213,"519,037.0",426.4,17.7,2485,"512,247",485.1,19.0,2189,"505,420",433.1,18.1,2087,"499,893",417.5,17.9,2160,497494,434.2,18.3,2503,"495,835",504.8,19.7
Wakulla,82,"33,394",245.6,53.1,76,"32,418",234.4,52.6,58,"32,350",179.3,46.1,88,"32,134",273.9,57.1,52,"31,706.0",164.0,44.5,102,"31,323",325.6,63.1,86,"31,310",274.7,58.0,77,"30,974",248.6,55.5,92,30758,299.1,61,91,"30,856",294.9,60.5
Walton,120,"72,528",165.5,29.6,143,"70,352",203.3,33.3,154,"67,926",226.7,35.8,176,"65,724",267.8,39.5,224,"63,562.0",352.4,46.1,209,"61,111",342.0,46.3,235,"60,076",391.2,49.9,209,"58,233",358.9,48.6,216,57177,377.8,50.3,199,"55,794",356.7,49.5
Washington,43,"25,252",170.3,50.9,61,"25,347",240.7,60.3,43,"25,243",170.3,50.9,53,"24,935",212.6,57.2,44,"24,880.0",176.8,52.2,48,"24,952",192.4,54.4,50,"24,989",200.1,55.4,58,"24,805",233.8,60.1,69,24921,276.9,65.2,69,"24,679",279.6,65.9
